GridCell,Lat,Lon,μ,ϕ,ξ,q
1,45.12610626220703,-125.96707153320312,44.24340117823135,2.373794644933702,0.11597351987591134,52.6606966871363
2,45.1683464050293,-125.85557556152344,44.96211653726193,2.4010017642880337,0.126498643684252,53.61810810728185
3,45.210472106933594,-125.74391174316406,45.49983727682502,2.407295573792058,0.17780645327179428,54.91937454295456
4,45.252471923828125,-125.63203430175781,46.30135163610409,2.4055449875208765,0.20153081971198517,56.08372537981157
5,45.29433822631836,-125.52000427246094,47.3656823456197,2.3995194339759274,0.1924450950376364,56.980184833152975
6,45.336082458496094,-125.40780639648438,48.35276194754321,2.3877744923714617,0.1663610500837375,57.525212939705526
7,45.37771224975586,-125.29537963867188,48.95813876620923,2.384621508899337,0.15329038252395233,57.928643351806045
8,45.41920852661133,-125.18281555175781,50.12935250537069,2.432476116731208,0.09340754955287936,58.45600786737537
9,45.460575103759766,-125.070068359375,51.4789251691604,2.49112583229006,0.05296873554245872,59.491861702323575
10,45.501808166503906,-124.9571533203125,52.37912436593658,2.5394116728504237,0.04276363612326731,60.421627897032884
11,45.54292678833008,-124.84405517578125,53.707435780967614,2.5519531111423923,0.02467948782158287,61.571959753101964
12,45.58391571044922,-124.73077392578125,55.19426334744646,2.562227401650652,0.03656038699090118,63.233158730620275
13,45.62477493286133,-124.6173095703125,57.46221355117647,2.613132986229186,0.04130184738689455,65.71987814540576
14,45.66550064086914,-124.50369262695312,60.51448042385096,2.6507503367347693,0.06833993205324687,69.24371834446796
15,45.70610427856445,-124.389892578125,64.47530400108741,2.7370708567508815,0.05076452688365686,73.24983561409893
16,45.746578216552734,-124.27587890625,68.71030947359849,2.8426001199428903,0.0037383547893163897,77.20043528104183
17,45.78692626953125,-124.1617431640625,77.49915731278219,2.9501088730854015,0.00207131785602736,86.28856613025593
18,45.82712936401367,-124.04739379882812,96.49496576409156,3.1488323905583337,-0.07177168014724807,104.91795040498934
19,45.867210388183594,-123.93289184570312,108.93469273514737,3.264970987876576,-0.14222432595642182,116.84436201771213
20,45.90717697143555,-123.81817626953125,104.50917767336034,3.228691802123914,-0.21520549875933695,111.5948170800176
21,45.94699478149414,-123.70332336425781,91.40176468116313,3.1673888871321703,-0.2640389358717573,97.92198644513185
22,45.986690521240234,-123.58828735351562,76.6039570364583,3.0486612528684174,-0.2116952588872331,83.32579420574122
23,46.026241302490234,-123.47306823730469,63.901488818072764,2.9349580028728934,-0.16570254543478236,70.78624011964384
24,46.065673828125,-123.357666015625,54.109295670501496,2.7546074219338643,-0.044445002675702464,61.77398106708955
25,46.10496139526367,-123.24209594726562,51.41873011337117,2.570552690055202,0.12100193422354624,60.606052398539646
26,46.14413070678711,-123.1263427734375,55.85632689609828,2.5315465514849853,0.1610703854841699,65.49883971817164
27,46.18315887451172,-123.01043701171875,61.2013689573565,2.6460952084750136,0.07543775482671207,70.01091729598176
28,46.22205352783203,-122.89433288574219,61.543453454958964,2.7084244476938837,0.024194125521668476,69.88409860769569
29,46.26081848144531,-122.77804565429688,61.69295259317046,2.7055129052913625,0.03139235568976423,70.11541416967304
30,46.299442291259766,-122.66159057617188,70.14210576989736,2.7606633426895364,0.05904340371053765,79.10474753515824
31,46.33794021606445,-122.54498291015625,83.45522775294367,2.9540973999675844,-0.025015763980544052,91.91142872923602
32,46.37629318237305,-122.42816162109375,88.59103109667053,3.0019463596765137,-0.04980436978276607,96.87925604006175
33,46.41452407836914,-122.31118774414062,85.45810579608326,2.991316637423922,-0.02804899015777589,93.98286707034856
34,46.45261001586914,-122.19404602050781,79.42986636456237,2.996742097275021,-0.035101355169023005,87.88249391934662
35,46.490562438964844,-122.07672119140625,76.01744183341157,2.885012786908887,0.05309613680492376,85.2991542092513
36,46.528377532958984,-121.959228515625,84.53510733051124,3.0434166074745854,0.03571722581672099,94.07155371189636
37,46.56605911254883,-121.841552734375,87.64261853240686,3.2429328192175797,-0.17989115951560913,95.10457080391633
38,46.60360336303711,-121.72369384765625,94.42676268079147,3.3801169922161813,-0.3440897752896337,100.71499365649086
39,46.64100646972656,-121.60566711425781,102.14717917617023,3.42692760705241,-0.33571798587071777,108.58898689938462
40,46.67827606201172,-121.48747253417969,79.81817848842269,3.141934491030046,0.019266185021588042,89.42251758702326
41,46.71540451049805,-121.36909484863281,50.71614132099765,2.6915033675020403,0.2842372912981921,63.274304094405935
42,46.75239181518555,-121.25057983398438,33.29567631047239,2.330588368745415,0.1582289863293384,42.132434488825595
43,46.789241790771484,-121.13186645507812,23.894258705544818,2.0673933745662296,0.3559174964792403,34.803684205099835
44,46.82595443725586,-121.01296997070312,20.98396165753012,2.1327506131748475,0.36538831466011534,32.42584411468144
45,46.8625373840332,-120.89387512207031,22.518284350392186,2.0720499586286554,0.27159509386161124,31.982144770952974
46,46.89897155761719,-120.774658203125,23.435852625470858,2.043296460880655,0.17160253652975738,31.35148627372446
47,46.935264587402344,-120.65525817871094,20.527341021220515,1.8690964730748725,0.1167450531968626,27.163050577293035
48,46.971405029296875,-120.53569030761719,17.800768629835268,1.6866600968866994,0.1523269778575693,24.135916793580304
49,47.00742721557617,-120.41592407226562,18.741293477748023,1.650592937769659,0.12222333539149882,24.65197436758686
50,47.04330062866211,-120.2960205078125,23.413665907509344,1.7660924971285419,0.026554513917752338,28.871720371041366
51,47.07902908325195,-120.1759033203125,25.725607594537212,1.871276054567566,0.10151126992424443,32.21252442955317
52,47.1146125793457,-120.05564880371094,22.236549435371433,1.7555032596733282,0.22433708504673602,29.647637806629177
