Lat,Lon,Elevation
45.126106,-125.96707,0
45.168346,-125.855576,0
45.210472,-125.74391,0
45.252472,-125.632034,0
45.29434,-125.520004,0
45.336082,-125.40781,0
45.377712,-125.29538,0
45.41921,-125.182816,0
45.460575,-125.07007,0
45.50181,-124.95715,0
45.542927,-124.844055,0
45.583916,-124.730774,0
45.624775,-124.61731,0
45.6655,-124.50369,0
45.706104,-124.38989,0
45.74658,-124.27588,0
45.786926,-124.16174,0
45.82713,-124.04739,0
45.86721,-123.93289,119
45.907177,-123.81818,95
45.946995,-123.70332,306
45.98669,-123.58829,431
46.02624,-123.47307,299
46.065674,-123.357666,310
46.10496,-123.242096,172
46.14413,-123.12634,216
46.18316,-123.01044,115
46.222054,-122.89433,38
46.26082,-122.778046,233
46.299442,-122.66159,298
46.33794,-122.54498,343
46.376293,-122.42816,461
46.414524,-122.31119,802
46.45261,-122.194046,682
46.490562,-122.07672,290
46.528378,-121.95923,268
46.56606,-121.84155,1320
46.603603,-121.723694,585
46.641006,-121.60567,555
46.678276,-121.48747,1288
46.715405,-121.369095,1660
46.75239,-121.25058,2008
46.78924,-121.13187,959
46.825954,-121.01297,978
46.862537,-120.893875,1132
46.89897,-120.77466,848
46.935265,-120.65526,959
46.971405,-120.53569,451
47.007427,-120.415924,533
47.0433,-120.29602,778
47.07903,-120.1759,756
47.114613,-120.05565,359
47.150063,-119.93518,305
47.185364,-119.814606,378
47.22052,-119.69382,369
47.255524,-119.572876,362
47.290405,-119.45177,348
47.325138,-119.330444,399
47.35972,-119.209015,406
47.39415,-119.08737,484
47.428444,-118.965576,488
47.462593,-118.84363,550
47.496593,-118.7215,566
47.53045,-118.59918,632
47.56416,-118.476715,686
47.597725,-118.354065,683
47.631134,-118.23128,717
47.664402,-118.10831,755
47.697514,-117.98517,756
47.73049,-117.86185,746
47.76331,-117.73839,760
47.79598,-117.61476,602
47.8285,-117.49097,755
47.860874,-117.367004,511
47.8931,-117.24289,621
47.925167,-117.11859,1626
47.957092,-116.99414,1151
47.988865,-116.86951,786
48.020477,-116.74472,778
48.05194,-116.61981,733
48.083256,-116.49472,627
48.114418,-116.369446,1360
48.145424,-116.24399,628
48.176277,-116.11841,1089
48.206978,-115.992676,1686
48.237522,-115.866776,1045
48.267918,-115.74069,1862
48.29816,-115.6145,969
48.32824,-115.48808,844
48.35817,-115.36157,944
48.387947,-115.23485,1251
48.417557,-115.108,1549
48.44701,-114.98102,1599
48.476322,-114.85385,1522
48.505466,-114.72649,1573
48.534454,-114.59903,1000
48.563282,-114.471405,1144
48.59195,-114.34363,1818
48.620472,-114.21568,1357
48.64883,-114.087585,1152
48.67702,-113.95935,1622
48.705055,-113.83095,1675
48.732933,-113.70239,2105
48.76066,-113.5737,1878
48.788204,-113.44487,1564
48.815598,-113.31589,1643
48.84284,-113.18674,1445
48.86991,-113.05742,1391
48.89683,-112.92798,1350
48.923573,-112.7984,1259
48.95016,-112.66867,1269
48.976585,-112.53879,1218
45.20534,-126.02762,0
45.24765,-125.915985,0
45.28984,-125.804184,0
45.331913,-125.69217,0
45.373844,-125.58,0
45.415657,-125.46765,0
45.45735,-125.35513,0
45.49891,-125.2424,0
45.540344,-125.12952,0
45.581642,-125.01648,0
45.62283,-124.90323,0
45.66389,-124.789825,0
45.704815,-124.67621,0
45.74561,-124.56244,0
45.786278,-124.4485,0
45.826817,-124.33435,0
45.867226,-124.22006,0
45.9075,-124.10559,0
45.947655,-123.99094,0
45.987682,-123.87604,260
46.02757,-123.76105,118
46.06732,-123.645874,316
46.106945,-123.53049,170
46.14644,-123.41495,53
46.18579,-123.299225,428
46.22503,-123.18332,144
46.26412,-123.067245,413
46.30308,-122.95099,114
46.341915,-122.83455,120
46.3806,-122.71796,130
46.419163,-122.60118,298
46.45758,-122.48422,355
46.49588,-122.367065,437
46.534027,-122.249756,335
46.572044,-122.13226,1058
46.60992,-122.01462,930
46.64767,-121.89679,1214
46.685276,-121.77878,740
46.722748,-121.66058,1594
46.760082,-121.54224,914
46.797268,-121.423676,1578
46.834324,-121.30496,1106
46.87124,-121.1861,1804
46.90801,-121.06705,1016
46.94466,-120.947784,1447
46.981155,-120.8284,934
47.01751,-120.70882,737
47.05372,-120.58908,516
47.0898,-120.46915,670
47.125736,-120.349045,1136
47.161522,-120.22876,1343
47.197174,-120.10834,611
47.23268,-119.9877,326
47.268044,-119.86694,444
47.30326,-119.74597,658
47.338337,-119.62485,594
47.373272,-119.50357,370
47.408066,-119.38208,397
47.44271,-119.26045,427
47.47721,-119.13864,491
47.51156,-119.01666,451
47.545773,-118.8945,543
47.57983,-118.7722,594
47.61375,-118.64969,649
47.64752,-118.527054,694
47.68114,-118.40422,717
47.714615,-118.28122,708
47.747936,-118.15808,763
47.781116,-118.03476,730
47.814156,-117.91124,522
47.847034,-117.7876,585
47.879753,-117.66377,465
47.91234,-117.53978,660
47.944767,-117.41562,648
47.977055,-117.29129,633
48.00918,-117.16681,829
48.041157,-117.042145,746
48.07299,-116.91733,1264
48.104668,-116.79236,660
48.136185,-116.66722,974
48.167553,-116.54193,702
48.198772,-116.41647,704
48.229843,-116.2908,627
48.260754,-116.16502,1518
48.29151,-116.03909,1601
48.322113,-115.91298,980
48.352562,-115.7867,1746
48.382854,-115.66028,1157
48.413,-115.53366,712
