id	x	y
10002	162150	614395
69000	556917	1065082
73011	513005	1098217
73016	528539	1094478
73026	518497	1079788
73027	511186	1070570
73028	531293	1083483
73029	514840	1079787
73030	523984	1077948
73033	531315	1057679
73034	513013	1076100
73036	525815	1074263
73037	527645	1072421
73038	520335	1063201
73039	516674	1068729
73040	520332	1068731
73041	503869	1083470
73042	509354	1083471
73043	531312	1061366
73044	542256	1089024
73045	531296	1079797
73046	522151	1085320
73047	527632	1089010
73051	523987	1072419
73052	529468	1079795
73053	523985	1076105
73054	538606	1083490
73055	547721	1103776
73056	533120	1085328
73057	533128	1076112
73058	509349	1101902
73059	514831	1101904
73061	514831	1101904
73063	533131	1072426
73069	511177	1101903
73072	514831	1101904
73073	523988	1070576
73074	531277	1101915
73075	522158	1072418
73079	531295	1081640
73080	525826	1057675
73084	522149	1089006
73085	527631	1090853
73086	516668	1081631
73088	514841	1077944
73089	525816	1072420
73093	505696	1094529
73096	538583	1105608
73097	533100	1107446
73098	542235	1107455
73099	527626	1098225
74019	348907	1188870
74023	358023	1188831
74032	346992	1168597
74033	345294	1196262
74034	339817	1194444
74036	352562	1190698
74042	388612	1191579
74044	346211	1197635
74046	312208	1162290
74052	355215	1190280
74054	344157	1197474
75002	553184	1116686
75003	547745	1085344
75004	553230	1085351
75005	547731	1096403
75006	549581	1079817
75007	555069	1077981
75008	544100	1076124
75014	545903	1096401
75015	549578	1081660
75016	553219	1092724
75017	549546	1105621
75018	553192	1111156
75020	549588	1074287
75021	547760	1074285
75022	558676	1109322
75024	555016	1113002
75028	547763	1094898
76006	387126	1168441
76009	357923	1164863
76012	381666	1172147
76013	396180	1146291
76017	398038	1157347
76018	390745	1159212
76019	390757	1162899
76020	390727	1153682
76021	381615	1157399
76022	396208	1155509
76023	392558	1155520
76024	388920	1159218
76026	363396	1164841
76028	385259	1155543
76029	379875	1181371
76031	367074	1172201
76032	377999	1166629
76033	357954	1172238
76034	368934	1181412
76035	358008	1185143
76036	372574	1179554
76038	379771	1151875
76039	363485	1186964
76040	377966	1157412
76044	370764	1183248
76046	365301	1185113
76048	370729	1174030
76050	370757	1181405
76052	368934	1181412
76060	368108	1145320
76064	373862	1184926
76066	371759	1137092
77001	573281	1114878
78002	412589	1138873
78004	399768	1124160
78012	427175	1129623
78014	407107	1137044
78016	412589	1138873
78018	422563	1108343
78020	417148	1110598
78021	417148	1110598
78022	371604	131004
78088	514841	1077944
79005	560540	1087206
79010	562374	1083523
79011	569631	1113028
79012	571480	1101972
79014	567862	1081689
79016	556917	1065082
79098	533134	1088390
80005	439929	1113010
80007	430780	1105654
80008	421644	1105672
80010	421644	1105672
80011	421644	1105672
81004	602537	1105733
83003	591600	1094643
84000	491075	1098216
84027	449065	1114839
84034	461837	1100078
84043	481945	1112965
84047	467318	1098230
84048	461835	1098235
84063	474647	1125871
84095	481939	1100062
84096	489248	1098216
84097	443545	1089043
84098	450862	1092718
84099	449024	1085348
87006	652106	1050598
87007	615472	1059686
87008	620967	1057860
87009	626432	1065252
87010	615495	1052313
87012	613687	1044934
87014	606386	1037539
87016	608169	1054134
87018	586190	1063294
88010	467290	1066896
88015	469117	1065051
88018	502042	1074254
88020	503871	1066882
88023	509358	1066883
88024	489239	1066883
88026	494726	1070568
88028	489239	1066883
88032	505700	1066882
88034	495519	1073671
88036	478049	1064369
88038	488781	1066331
88040	488964	1071148
92004	496554	1057667
92006	496555	1063196
92008	505701	1059510
92010	511189	1061354
92012	500701	1060185
92014	1138803	9821596
92016	487401	1039698
92018	475046	1050352
94005	514851	1052140
94006	502043	1044765
94008	522173	1048457
94012	520346	1042927
94014	507534	1041079
94016	516475	1058992
94020	508295	1048790
98006	560648	1019009
98007	612049	976725
98010	549639	1035581
98011	540507	1015297
98012	590002	996946
98013	624867	982292
98015	586313	1007997
98016	575352	991387
98017	555167	1009785
98018	577128	1020881
98019	569802	1020867
98020	540478	1042943
98021	542298	1052161
98022	573475	1015344
98023	542331	1022671
98031	536811	1050312
98032	529505	1031875
98033	555133	1033746
98034	597354	987747
98035	610211	978563
98036	564347	996897
98037	573523	989540
98038	555180	1000569
98039	573513	995069
98040	531319	1052150
98041	536807	1053998
98042	571667	1002439
98043	634034	982321
98044	628517	987834
98045	621217	976751
98046	593659	1000641
98047	564305	1022701
98048	624833	993353
98049	635831	993388
98050	619351	987806
98051	600979	1004345
98052	591813	1006166
98053	584473	1011680
98054	564302	1024544
98055	602877	978544
98057	578996	1002453
98058	535009	1018978
98059	538655	1035569
98060	522177	1041085
98061	531327	1042935
98062	555110	1050334
98063	545978	1035577
98066	610166	995153
98068	589965	1013535
98070	564305	1022701
98074	543163	986547
98076	553374	980293
98078	543333	998620
98084	574080	1013326
98086	543417	1037917
98088	525795	1039213
98090	616348	993297
68588	481615	1130862
69505	483777	1124023
69507	476666	1137127
69510	452756	1142482
69514	407166	1159164
69516	392593	1166580
69517	403502	1153644
69518	419889	1151879
69519	412635	1157307
69520	396767	1167718
69521	416271	1151767
69522	414140	1154414
69523	403491	1149957
69524	415438	1149218
69525	401698	1161023
69526	418118	1160980
69527	403538	1166548
69530	458754	1147733
69532	399678	1169605
69542	392369	1165864
69543	401724	1170240
69544	410359	1155733
69545	402725	1156455
69546	408976	1153629
69547	415694	1160959
69548	421499	1154373
69549	399736	1167137
69550	406623	1162418
69551	409692	1179373
69552	394600	1161642
69553	404249	1148972
69556	456388	1127732
69559	410782	1146251
69560	398082	1172094
69561	390511	1171644
69562	403543	1168391
69563	412603	1144403
69570	417358	1152088
69571	416289	1159141
69572	404362	1154005
69573	390906	1208986
69574	386322	1198088
69575	389072	1205305
69576	384829	1186689
69577	476511	1181166
69578	500442	1179031
69579	436328	1142508
69581	406746	1150414
69582	369745	1193042
69583	409042	1163278
69585	399177	1161394
69587	427205	1144370
69588	481954	1131396
69589	407017	1145859
69590	436321	1138822
69596	433813	1151398
69598	410061	1172486
69600	499839	1113344
69602	505691	1124019
69604	503866	1118490
69606	502039	1114803
69608	418871	1167585
69610	442741	1156930
69612	466137	1125544
69614	467318	1129357
69616	462774	1127816
69618	466594	1131745
69620	471100	1134912
69622	471526	1131014
69624	471463	1128533
69626	506817	1123628
69628	401708	1164710
69630	400618	1154891
69632	402192	1166191
69634	523963	1109282
69636	519312	1107283
69638	520317	1118862
69640	471002	1135090
69642	485405	1132748
69644	421721	1140695
69646	421725	1142538
69648	418066	1138860
69650	467617	1127911
69652	464564	1132961
69654	422868	1135029
69656	433779	1145779
69658	487431	1129551
69660	395496	1163227
69662	433825	1146444
69664	461554	1157270
69668	485367	1128397
69670	479584	1124972
69674	485614	1125123
69676	442794	1133895
69678	444059	1125691
69680	442711	1138872
69682	479830	1136256
69684	400955	1167156
69686	472900	1141727
69688	481613	1130864
69692	391896	1164697
69694	479678	1132507
69696	480481	1140097
69698	478398	1137972
69700	481986	1132611
69702	526373	1190810
69706	469451	1132514
69902	391896	1164698
69903	390439	1165736
69904	399972	1158146
69905	398175	1159843
69906	330246	1225989
69907	330484	1223241
69908	322811	1222879
69909	326241	1225440
69984	1038294	9841154
69985	391308	1164096
69986	1115296	9820398
69987	1126099	9817599
69988	471095	1136472
69989	470978	1134702
69991	395504	1163227
69996	430031	1144754
69997	471735	1135225
69999	470791	1134628
72110	361368	1113227
72112	324145	1179679
72114	354094	1090625
72901	317612	1223823
73011	512758	1098287
73026	519516	1079321
73027	508809	1070627
73028	532026	1084384
73029	515545	1079716
73030	523887	1078021
73033	530340	1056923
73034	512118	10776500
73036	525680	1073849
73037	527481	1071647
73038	521265	1062892
73039	516587	1067347
73040	519407	1068286
73041	503779	1083363
73042	508451	1082155
73045	531797	1080958
73046	521408	1088065
73047	530578	1089381
73051	523893	1073004
73054	539466	1083305
73055	547326	1104391
73057	533078	1077280
73063	533053	1075577
73074	531734	1101439
73079	530908	1081980
73080	527118	1057076
73084	521639	1088059
73088	515259	1078255
73096	539308	1105282
73097	534959	1108275
73098	542733	1106643
73100	525810	1081636
73101	542261	1085337
73102	525791	1107440
73104	512328	1087821
73108	542250	1094553
73112	510342	1094195
73114	513004	1101904
73116	538153	1085357
73118	501385	1088229
73120	538598	1090863
73122	536771	1090861
73124	543863	1083557
73126	506166	1086050
