Année,5min,10min,15min,30min,1h,2h,6h,12h,24h
2005,12.6,17.6,21.8,26.6,29.2,30.4,43.0,61.0,86.2
2006,3.6,5.0,5.8,7.8,11.8,18.6,45.0,77.4,88.4
2007,4.2,6.4,10.2,13.2,14.2,15.2,32.8,51.6,83.2
2008,7.8,11.2,12.2,14.8,15.4,17.6,31.4,46.4,56.6
2009,4.0,4.6,5.8,8.6,13.0,14.8,36.2,50.0,59.8
2010,11.2,13.8,16.2,26.2,28.6,43.2,52.4,54.8,57.2
2011,15.2,15.4,15.6,16.2,16.8,18.8,26.0,33.6,36.6
2012,6.6,9.0,10.4,17.8,23.0,26.0,41.0,60.0,60.0
2013,9.2,13.0,15.8,22.2,25.8,26.2,45.4,52.8,57.8
2014,6.2,12.0,15.2,19.2,23.6,27.6,32.4,42.8,52.0
2015,7.6,15.2,20.4,24.2,27.0,27.0,32.2,48.0,70.0
2016,2.8,4.2,5.4,7.8,11.2,13.0,21.2,32.2,51.2
2017,2.4,2.8,3.4,5.2,8.0,12.0,21.8,30.0,41.0
