basin,station,source,date,dur,int,date_time
69,684,D,2007-03-15,5,6,2007-03-15T15:45:00Z
69,684,D,2007-03-15,15,2,2007-03-15T15:45:00Z
69,684,D,2007-03-15,60,0.5,2007-03-15T15:00:00Z
69,684,D,2007-03-15,120,0.25,2007-03-15T14:00:00Z
69,684,D,2007-03-15,180,0.167,2007-03-15T14:00:00Z
69,684,D,2007-03-15,360,0.083,2007-03-15T14:00:00Z
69,684,D,2007-03-15,720,0.042,2007-03-15T14:00:00Z
69,684,D,2007-03-15,1440,0.021,2007-03-15T14:00:00Z
69,684,D,2007-03-17,5,3.6,2007-03-18T06:00:00Z
69,684,D,2007-03-17,60,0.3,2007-03-18T06:00:00Z
69,684,D,2007-03-17,120,1.9,2007-03-18T07:00:00Z
69,684,D,2007-03-17,180,6,2007-03-18T08:00:00Z
69,684,D,2007-03-17,360,3.467,2007-03-18T08:45:00Z
69,684,D,2007-03-17,720,2.65,2007-03-18T08:30:00Z
69,684,D,2007-03-17,1440,1.946,2007-03-18T06:00:00Z
69,684,D,2007-03-18,5,21.6,2007-03-18T08:55:00Z
69,684,D,2007-03-18,10,19.8,2007-03-18T09:15:00Z
69,684,D,2007-03-18,15,17.2,2007-03-18T09:15:00Z
69,684,D,2007-03-18,30,14.8,2007-03-18T08:55:00Z
69,684,D,2007-03-18,60,12.2,2007-03-18T08:55:00Z
69,684,D,2007-03-18,120,8.65,2007-03-18T08:35:00Z
69,684,D,2007-03-18,180,6,2007-03-18T08:00:00Z
69,684,D,2007-03-18,360,3.467,2007-03-18T08:45:00Z
69,684,D,2007-03-18,720,2.65,2007-03-18T08:30:00Z
69,684,D,2007-03-18,1440,2.212,2007-03-18T08:45:00Z
69,684,D,2007-03-19,5,9.6,2007-03-19T08:35:00Z
69,684,D,2007-03-19,10,7.8,2007-03-19T08:35:00Z
69,684,D,2007-03-19,15,5.2,2007-03-19T08:30:00Z
69,684,D,2007-03-19,30,4.6,2007-03-19T08:35:00Z
69,684,D,2007-03-19,60,4.6,2007-03-19T13:10:00Z
69,684,D,2007-03-19,120,3.3,2007-03-19T13:10:00Z
69,684,D,2007-03-19,180,2.8,2007-03-19T06:05:00Z
69,684,D,2007-03-19,360,1.983,2007-03-19T08:10:00Z
69,684,D,2007-03-19,720,1.775,2007-03-19T06:00:00Z
69,684,D,2007-03-19,1440,1.154,2007-03-19T06:00:00Z
69,684,D,2007-03-20,5,3.6,2007-03-20T09:40:00Z
69,684,D,2007-03-20,10,3,2007-03-20T09:40:00Z
69,684,D,2007-03-20,15,3.2,2007-03-20T09:55:00Z
69,684,D,2007-03-20,30,2.6,2007-03-20T09:40:00Z
69,684,D,2007-03-20,60,1.8,2007-03-20T09:40:00Z
69,684,D,2007-03-20,120,0.9,2007-03-20T09:00:00Z
69,684,D,2007-03-20,180,0.833,2007-03-20T09:40:00Z
69,684,D,2007-03-20,360,0.633,2007-03-20T08:00:00Z
69,684,D,2007-03-20,720,0.317,2007-03-20T06:00:00Z
69,684,D,2007-03-20,1440,0.158,2007-03-20T06:00:00Z
69,684,D,2007-03-21,360,0.25,2007-03-22T11:00:00Z
69,684,D,2007-03-21,720,0.342,2007-03-22T09:00:00Z
69,684,D,2007-03-21,1440,0.171,2007-03-21T21:00:00Z
69,684,D,2007-03-22,5,15.6,2007-03-22T20:45:00Z
69,684,D,2007-03-22,10,10.8,2007-03-22T20:40:00Z
69,684,D,2007-03-22,15,7.2,2007-03-22T20:35:00Z
69,684,D,2007-03-22,30,4.6,2007-03-22T20:30:00Z
69,684,D,2007-03-22,60,2.3,2007-03-22T20:00:00Z
69,684,D,2007-03-22,120,1.15,2007-03-22T19:00:00Z
69,684,D,2007-03-22,180,0.833,2007-03-22T18:00:00Z
69,684,D,2007-03-22,360,0.55,2007-03-22T15:00:00Z
69,684,D,2007-03-22,720,0.342,2007-03-22T09:00:00Z
69,684,D,2007-03-22,1440,0.212,2007-03-22T10:00:00Z
69,684,D,2007-03-23,5,6,2007-03-23T09:30:00Z
69,684,D,2007-03-23,10,4.8,2007-03-23T09:25:00Z
69,684,D,2007-03-23,15,4,2007-03-23T09:25:00Z
69,684,D,2007-03-23,30,1.6,2007-03-23T09:30:00Z
69,684,D,2007-03-23,60,1,2007-03-23T09:00:00Z
69,684,D,2007-03-23,120,0.5,2007-03-23T08:00:00Z
69,684,D,2007-03-23,180,1.2,2007-03-24T08:00:00Z
69,684,D,2007-03-23,360,1.183,2007-03-24T09:00:00Z
69,684,D,2007-03-23,720,0.592,2007-03-24T03:00:00Z
69,684,D,2007-03-23,1440,0.358,2007-03-24T02:00:00Z
69,684,D,2007-03-24,5,12,2007-03-24T10:25:00Z
69,684,D,2007-03-24,10,7.8,2007-03-24T10:20:00Z
69,684,D,2007-03-24,15,6,2007-03-24T10:15:00Z
69,684,D,2007-03-24,30,5,2007-03-24T10:00:00Z
69,684,D,2007-03-24,60,3.6,2007-03-24T09:50:00Z
69,684,D,2007-03-24,120,1.9,2007-03-24T09:50:00Z
69,684,D,2007-03-24,180,1.6,2007-03-24T09:50:00Z
69,684,D,2007-03-24,360,1.183,2007-03-24T09:00:00Z
69,684,D,2007-03-24,720,0.592,2007-03-24T06:00:00Z
69,684,D,2007-03-24,1440,0.475,2007-03-24T09:00:00Z
69,684,D,2007-03-25,5,6,2007-03-25T07:25:00Z
69,684,D,2007-03-25,10,4.8,2007-03-25T07:35:00Z
69,684,D,2007-03-25,15,4,2007-03-25T07:25:00Z
69,684,D,2007-03-25,30,3,2007-03-25T07:25:00Z
69,684,D,2007-03-25,60,2.5,2007-03-25T07:25:00Z
69,684,D,2007-03-25,120,1.8,2007-03-25T07:25:00Z
69,684,D,2007-03-25,180,1.367,2007-03-25T07:25:00Z
69,684,D,2007-03-25,360,0.933,2007-03-25T07:00:00Z
69,684,D,2007-03-25,720,0.467,2007-03-25T06:00:00Z
69,684,D,2007-03-25,1440,0.233,2007-03-25T06:00:00Z
69,684,D,2007-03-26,5,3.6,2007-03-26T12:25:00Z
69,684,D,2007-03-26,10,3,2007-03-26T12:25:00Z
69,684,D,2007-03-26,15,2,2007-03-26T12:25:00Z
69,684,D,2007-03-26,30,0.6,2007-03-26T12:00:00Z
69,684,D,2007-03-26,60,0.5,2007-03-26T12:00:00Z
69,684,D,2007-03-26,120,0.4,2007-03-26T12:00:00Z
69,684,D,2007-03-26,180,0.267,2007-03-26T11:00:00Z
69,684,D,2007-03-26,360,0.133,2007-03-26T08:00:00Z
69,684,D,2007-03-26,720,0.067,2007-03-26T06:00:00Z
69,684,D,2007-03-26,1440,0.033,2007-03-26T06:00:00Z
69,684,D,2007-03-29,120,0.15,2007-03-30T07:00:00Z
69,684,D,2007-03-29,180,0.1,2007-03-30T06:00:00Z
69,684,D,2007-03-29,360,0.05,2007-03-30T03:00:00Z
69,684,D,2007-03-29,720,0.025,2007-03-29T21:00:00Z
69,684,D,2007-03-29,1440,0.013,2007-03-29T09:00:00Z
69,684,D,2007-03-30,5,3.6,2007-03-30T08:50:00Z
69,684,D,2007-03-30,10,1.8,2007-03-30T08:50:00Z
69,684,D,2007-03-30,15,1.2,2007-03-30T08:50:00Z
69,684,D,2007-03-30,60,0.3,2007-03-30T08:00:00Z
69,684,D,2007-03-30,120,0.15,2007-03-30T07:00:00Z
69,684,D,2007-03-30,180,0.1,2007-03-30T06:00:00Z
69,684,D,2007-03-30,360,0.05,2007-03-30T06:00:00Z
