Name,Province,ID,Lat,Lon,Elevation,Number of years,CSV filename,Original filename
LAKE COWICHAN,BC,1012055,48.83,-124.05,171.0,0,1012055.csv,idf_v-3.20_2021_03_26_101_BC_1012055_LAKE_COWICHAN.txt
JORDAN RIVER DIVERSION,BC,1013754,48.5,-124.0,393.0,1,1013754.csv,idf_v-3.20_2021_03_26_101_BC_1013754_JORDAN_RIVER_DIVERSION.txt
JORDAN RIVER GENERATING,BC,1013755,48.42,-124.05,4.0,2,1013755.csv,idf_v-3.20_2021_03_26_101_BC_1013755_JORDAN_RIVER_GENERATING.txt
NORTH COWICHAN,BC,1015628,48.82,-123.72,45.0,3,1015628.csv,idf_v-3.20_2021_03_26_101_BC_1015628_NORTH_COWICHAN.txt
PORT RENFREW,BC,1016335,48.58,-124.33,10.0,4,1016335.csv,idf_v-3.20_2021_03_26_101_BC_1016335_PORT_RENFREW.txt
SAANICH CAMOSUN COLLEGE,BC,1016941,48.5,-123.42,38.0,5,1016941.csv,idf_v-3.20_2021_03_26_101_BC_1016941_SAANICH_CAMOSUN_COLLEGE.txt
SATURNA CAPMON CS,BC,1017099,48.78,-123.13,178.0,6,1017099.csv,idf_v-3.20_2021_03_26_101_BC_1017099_SATURNA_CAPMON_CS.txt
VICTORIA UNIVERSITY CS,BC,1018598,48.47,-123.3,60.0,7,1018598.csv,idf_v-3.20_2021_03_26_101_BC_1018598_VICTORIA_UNIVERSITY_CS.txt
VICTORIA GONZALES CS,BC,1018611,48.42,-123.32,61.0,8,1018611.csv,idf_v-3.20_2021_03_26_101_BC_1018611_VICTORIA_GONZALES_CS.txt
VICTORIA INTL A,BC,1018621,48.65,-123.43,19.0,9,1018621.csv,idf_v-3.20_2021_03_26_101_BC_1018621_VICTORIA_INTL_A.txt
VICTORIA MARINE,BC,1018642,48.37,-123.75,31.0,10,1018642.csv,idf_v-3.20_2021_03_26_101_BC_1018642_VICTORIA_MARINE.txt
CAMPBELL RIVER A,BC,1021261,49.95,-125.27,108.0,11,1021261.csv,idf_v-3.20_2021_03_26_102_BC_1021261_CAMPBELL_RIVER_A.txt
CAMPBELL RIVER STP,BC,1021265,50.02,-125.23,3.0,12,1021265.csv,idf_v-3.20_2021_03_26_102_BC_1021265_CAMPBELL_RIVER_STP.txt
COMOX A,BC,1021830,49.72,-124.9,25.0,13,1021830.csv,idf_v-3.20_2021_03_26_102_BC_1021830_COMOX_A.txt
COURTENAY PUNTLEDGE BCHP,BC,1021990,49.68,-125.03,24.0,14,1021990.csv,idf_v-3.20_2021_03_26_102_BC_1021990_COURTENAY_PUNTLEDGE_BCHP.txt
NANAIMO A,BC,1025369,49.05,-123.87,28.0,15,1025369.csv,idf_v-3.20_2021_03_26_102_BC_1025369_NANAIMO_A.txt
NANAIMO CITY YARD,BC,10253G0,49.2,-123.98,114.0,16,10253G0.csv,idf_v-3.20_2021_03_26_102_BC_10253G0_NANAIMO_CITY_YARD.txt
NANAIMO DEPARTURE BAY,BC,1025C70,49.22,-123.95,7.0,17,1025C70.csv,idf_v-3.20_2021_03_26_102_BC_1025C70_NANAIMO_DEPARTURE_BAY.txt
PORT HARDY A,BC,1026270,50.68,-127.37,21.0,18,1026270.csv,idf_v-3.20_2021_03_26_102_BC_1026270_PORT_HARDY_A.txt
QUALICUM BEACH AIRPORT,BC,1026562,49.33,-124.38,58.0,19,1026562.csv,idf_v-3.20_2021_03_26_102_BC_1026562_QUALICUM_BEACH_AIRPORT.txt
STRATHCONA DAM,BC,1027775,50.0,-125.58,201.0,20,1027775.csv,idf_v-3.20_2021_03_26_102_BC_1027775_STRATHCONA_DAM.txt
AMPHITRITE POINT,BC,1030426,48.92,-125.53,26.0,21,1030426.csv,idf_v-3.20_2021_03_26_103_BC_1030426_AMPHITRITE_POINT.txt
CARNATION CREEK CDF,BC,1031413,48.9,-125.0,61.0,22,1031413.csv,idf_v-3.20_2021_03_26_103_BC_1031413_CARNATION_CREEK_CDF.txt
ESTEVAN POINT CS,BC,1032731,49.38,-126.53,5.0,23,1032731.csv,idf_v-3.20_2021_03_26_103_BC_1032731_ESTEVAN_POINT_CS.txt
PORT ALBERNI (AUT),BC,1036B06,49.32,-124.93,76.0,24,1036B06.csv,idf_v-3.20_2021_03_26_103_BC_1036B06_PORT_ALBERNI_(AUT).txt
TOFINO A,BC,1038205,49.08,-125.77,24.0,25,1038205.csv,idf_v-3.20_2021_03_26_103_BC_1038205_TOFINO_A.txt
CLOWHOM FALLS,BC,1041710,49.72,-123.53,22.0,26,1041710.csv,idf_v-3.20_2021_03_26_104_BC_1041710_CLOWHOM_FALLS.txt
DAISY LAKE DAM,BC,1042255,49.98,-123.13,381.0,27,1042255.csv,idf_v-3.20_2021_03_26_104_BC_1042255_DAISY_LAKE_DAM.txt
