Name,ID,Lat,Lon,GridCell,Elevation,Duration,μ,ϕ,ξ,q20
LAKE COWICHAN,1012055,48.83,-124.05,3393,171.0,24h,87.1402711705453,2.669882785532073,0.08780565829197318,136.13647744315236
JORDAN RIVER DIVERSION,1013754,48.5,-124.0,3056,393.0,24h,131.31011493756557,3.9616206820839874,-0.014278365917948213,284.1083834717234
JORDAN RIVER GENERATING,1013755,48.42,-124.05,2943,4.0,24h,77.56411429724564,3.416521372961894,0.13651550759587588,189.14269093361807
NORTH COWICHAN,1015628,48.82,-123.72,3283,45.0,24h,55.696801156150656,2.667057959121715,-0.4062191278752417,80.53413930784541
PORT RENFREW,1016335,48.58,-124.33,3166,10.0,24h,161.4519632245,3.38830476880443,-0.22637226443797123,225.49234208742809
SAANICH CAMOSUN COLLEGE,1016941,48.5,-123.42,2836,38.0,24h,42.90076047451482,2.2557068838316945,0.4522022731326001,102.63867375984248
SATURNA CAPMON CS,1017099,48.78,-123.13,2951,178.0,24h,40.64335889572224,2.184492667372091,0.21998019481674153,77.88909671248337
VICTORIA UNIVERSITY CS,1018598,48.47,-123.3,2724,60.0,24h,44.12571965997036,2.649988332566423,-0.0728775603706665,81.92678438154927
VICTORIA GONZALES CS,1018611,48.42,-123.32,2612,61.0,24h,38.49830151182503,2.4835002047215315,0.22361238161569852,89.02628061848046
VICTORIA INTL A,1018621,48.65,-123.43,2948,19.0,24h,48.122427346740785,2.519971432041139,0.09131072986179092,90.52747469762375
VICTORIA MARINE,1018642,48.37,-123.75,2721,31.0,24h,59.90872080466559,2.889994267848934,0.11089835932127963,123.20544029399946
CAMPBELL RIVER A,1021261,49.95,-125.27,5071,108.0,24h,55.248987913665914,2.4899402622516904,-0.15739261250070394,83.86350065479851
COMOX A,1021830,49.72,-124.9,4624,25.0,24h,52.777947828959455,2.4347733787011823,0.18915681214952934,98.26534528885959
COURTENAY PUNTLEDGE BCHP,1021990,49.68,-125.03,4623,24.0,24h,64.07160596682891,2.7981901011321804,0.1928814644890527,129.89029185903752
NANAIMO A,1025369,49.05,-123.87,3507,28.0,24h,51.57705207250601,2.6250963002862133,-0.11102359288569304,86.50788726186326
NANAIMO CITY YARD,10253G0,49.2,-123.98,3731,114.0,24h,53.49837600997864,2.6347132040420025,-0.062387294457647464,91.29122752316324
NANAIMO DEPARTURE BAY,1025C70,49.22,-123.95,3844,7.0,24h,41.08048369444574,2.2968396548630503,-0.011558927552079382,70.1110801007267
PORT HARDY A,1026270,50.68,-127.37,6630,21.0,24h,73.80660682595712,2.7925437992597963,0.08012109062566378,128.54239156667936
QUALICUM BEACH AIRPORT,1026562,49.33,-124.38,4065,58.0,24h,44.316679244143884,2.3986624780549453,-0.40132862003598346,63.41876305339119
STRATHCONA DAM,1027775,50.0,-125.58,5181,201.0,24h,53.301735723582965,2.6969281143593613,0.2455149830579768,118.16162215057575
AMPHITRITE POINT,1030426,48.92,-125.53,4056,26.0,24h,110.32513301847689,3.2984277172926504,-0.13808662860062362,176.28078529245175
CARNATION CREEK CDF,1031413,48.9,-125.0,3835,61.0,24h,95.22484977108725,3.803018105649475,-0.03163718790290587,222.33186585855083
ESTEVAN POINT CS,1032731,49.38,-126.53,4948,5.0,24h,101.42544084161969,2.8721193036500097,0.3140240344321107,188.1807978568739
PORT ALBERNI (AUT),1036B06,49.32,-124.93,4286,76.0,24h,82.96266266526509,3.0298565138324656,-0.21535584330330793,128.36892118158985
TOFINO A,1038205,49.08,-125.77,4279,24.0,24h,120.04705358705465,3.292072987439764,-0.09210672575854302,189.94454255016157
CLOWHOM FALLS,1041710,49.72,-123.53,4185,22.0,24h,74.46805066357092,2.845509222351572,-0.023355256915655393,123.85333911097084
DAISY LAKE DAM,1042255,49.98,-123.13,4413,381.0,24h,63.33213222921627,2.5563793954673946,-0.21008164225145387,91.81167879748993
MERRY ISLAND LIGHTSTATION,1045100,49.47,-123.92,4069,7.0,24h,41.068678455221836,2.1819662637305504,-0.04984892716302763,65.5393833715533
HOWE SOUND - PAM ROCKS,10459NN,49.48,-123.3,3849,7.0,24h,55.14298276918153,2.638075930442123,-0.15086239259050255,88.62506183272704
